date,spy,aapl,goog,msft,mkt-rf,smb,hml,rf
2004M09,0.00998779,0.116461259,0.235859073,0.012738581,2.14,1.27,0.5,0.11
2004M10,0.012801837,0.301775716,0.385934114,0.011506914,2.58,0.49,0.17,0.11
2004M11,0.043555633,0.246531754,-0.046490046,0.066084593,5.37,2.13,1.26,0.15
2004M12,0.029675779,-0.04032446,0.057704728,-0.00336222,3.8,-0.03,0.56,0.16
2005M01,-0.022675516,0.177391969,0.014572542,-0.016604358,-1.93,2.01,1.48,0.16
2005M02,0.020688391,0.15418815,-0.039785337,-0.04047215,2.99,0.38,1.38,0.16
2005M03,-0.018462656,-0.073765469,-0.040602701,-0.040143253,-2.02,-0.51,1.54,0.21
2005M04,-0.018912739,-0.144596677,0.197841573,0.045692266,-2.6,-0.96,-0.02,0.21
2005M05,0.03171602,0.097677448,0.231364131,0.022737215,1.42,-0.87,-0.08,0.24
2005M06,0.001514244,-0.077092181,0.059098058,-0.037919412,1.23,1.85,1.65,0.23
2005M07,0.037547677,0.147257183,-0.021962977,0.030527708,3.54,0.94,-0.09,0.24
2005M08,-0.009419027,0.094777864,-0.006135048,0.069791524,1.04,0.58,0.78,0.3
2005M09,0.007993422,0.133930866,0.101204997,-0.06215487,2.08,-0.31,0.86,0.29
2005M10,-0.02393486,0.071613609,0.162073261,-0.001166655,-2.68,-0.22,0.23,0.27
2005M11,0.043013793,0.163508036,0.084394698,0.077146611,2.9,0.23,-0.76,0.31
2005M12,-0.00191543,0.058280248,0.024276363,-0.056861313,2.58,2.28,-0.62,0.32
2006M01,0.023730627,0.04912759,0.04201101,0.073698049,4.52,2.68,1.2,0.35
2006M02,0.005709027,-0.09757767,-0.176596729,-0.043154144,-0.46,-0.68,1.42,0.34
2006M03,0.016369177,-0.088006952,0.072791287,0.012574512,2.43,2,0.44,0.37
2006M04,0.012552903,0.115370574,0.069191213,-0.119300096,2.88,0.34,1.29,0.36
2006M05,-0.030583796,-0.163547254,-0.116928075,-0.060232897,-4.12,-2.28,1.14,0.43
2006M06,0.002604538,-0.04272677,0.120248398,0.028293592,-0.59,-1.64,0.1,0.4
2006M07,0.00446849,0.171142455,-0.081267696,0.032097414,-0.25,-2.99,2.4,0.4
2006M08,0.021587314,-0.00162073,-0.021095215,0.069615736,2.23,0.19,-0.74,0.42
2006M09,0.026644327,0.126247409,0.05990799,0.0622252,0.6,-1.47,0.5,0.41
2006M10,0.031029571,0.051890498,0.170033564,0.048529393,3.33,0.5,-0.32,0.41
2006M11,0.019690127,0.1226491,0.017520214,0.02580086,2.3,0.34,0.41,0.42
2006M12,0.013282859,-0.077318727,-0.051487665,0.016886479,1.85,-0.17,1.23,0.4
2007M01,0.014928288,0.010435809,0.085334169,0.032941365,0.93,0.9,0.18,0.44
2007M02,-0.019812934,-0.013149911,-0.109578972,-0.087742218,-0.55,1.46,0.81,0.38
2007M03,0.011523233,0.093578281,0.019193872,-0.010706747,1.76,0.13,0.53,0.43
2007M04,0.04334226,0.07153715,0.028446074,0.071644592,3.71,-0.93,0.29,0.44
2007M05,0.033357458,0.194191318,0.054754776,0.027975661,2.49,-0.86,0.52,0.41
2007M06,-0.014728841,0.00698923,0.048588402,-0.040564275,-0.79,1.04,0.06,0.4
2007M07,-0.031810835,0.076633224,-0.024597059,-0.016421885,-2.38,0.3,-0.97,0.4
2007M08,0.012751529,0.049743658,0.010241519,-0.005510323,-1.15,-3.53,-0.43,0.42
2007M09,0.03798358,0.102779455,0.096183177,0.025091946,4.43,-2.14,-1.55,0.32
2007M10,0.013475276,0.213255602,0.220195297,0.222736065,3.18,0.84,-2.68,0.32
2007M11,-0.039502895,-0.041546013,-0.020000715,-0.087942651,-4.66,-3.56,-0.63,0.34
2007M12,-0.011324797,0.083456449,-0.002195711,0.05781958,-1.52,-0.76,0.62,0.27
2008M01,-0.062365304,-0.380733441,-0.203248225,-0.088033283,-7.86,-1.06,2.63,0.21
2008M02,-0.026182792,-0.07946399,-0.180345894,-0.177217322,-0.04,2.11,-0.86,0.13
2008M03,-0.00898248,0.137861131,-0.067397853,0.04246753,-1.25,-0.87,1.64,0.17
2008M04,0.046561524,0.192432841,0.265292156,0.004921122,4.91,-2.83,-0.35,0.18
2008M05,0.015003118,0.081655833,0.019844005,-0.003362688,1.84,1.71,-1.39,0.18
2008M06,-0.087275776,-0.119798698,-0.106879112,-0.029018743,-8.05,1.2,-1.12,0.17
2008M07,-0.009026383,-0.05203489,-0.105419579,-0.067280822,-2.79,-0.37,1.89,0.15
2008M08,0.015335667,0.064439857,-0.022326575,0.063232228,-2.09,-0.48,0.17,0.13
2008M09,-0.098907853,-0.39981825,-0.145589485,-0.022231722,-12.29,-1.18,2.25,0.15
2008M10,-0.180547212,-0.054883792,-0.108438979,-0.178357699,-19.52,-2.79,0.07,0.08
2008M11,-0.072147233,-0.149282884,-0.204288688,-0.092507379,-6.53,-0.57,-1.41,0.03
2008M12,0.009748352,-0.082284928,0.048926755,-0.0393393,4.43,2.26,0.35,0
2009M01,-0.085682344,0.054493118,0.095649964,-0.128254382,-8.54,2.23,-4.61,0
2009M02,-0.113671746,-0.00913974,-0.001596415,-0.050325754,-9.94,1.05,-4.07,0.01
2009M03,0.080021863,0.162989339,0.029358542,0.128799715,7.28,-1.27,-0.11,0.02
2009M04,0.094715634,0.179829295,0.128963579,0.097929039,11.42,1.64,2.67,0.01
2009M05,0.056809118,0.076324715,0.05229918,0.036952602,9.96,1.63,-0.07,0
2009M06,-0.000655399,0.047593741,0.010395651,0.129154069,-0.26,2.85,-1.64,0.01
2009M07,0.071953643,0.137289497,0.049649415,-0.010573401,8.62,-1.37,3.94,0.01
2009M08,0.036274181,0.029073344,0.041167601,0.052532654,3.88,0.79,4.7,0.01
2009M09,0.034842705,0.097032831,0.071423171,0.042491991,4.46,1.65,0.45,0.01
2009M10,-0.019412611,0.016851916,0.078084568,0.075246171,-2.11,-0.47,-2.15,0
2009M11,0.059783624,0.05876902,0.083829107,0.063230353,3.65,-2.41,-1.45,0
2009M12,0.018920794,0.052710605,0.061500067,0.035736043,1.94,0.68,0.75,0.01
2010M01,-0.037019037,-0.092769933,-0.156923396,-0.078457969,-3.73,2.56,-0.08,0
2010M02,0.030717971,0.063346923,-0.005942834,0.021904146,1.29,-0.01,0.14,0
2010M03,0.059098425,0.138430778,0.073749975,0.021394726,6.24,-0.19,3.07,0.01
2010M04,0.015351641,0.105279975,-0.075840226,0.041790861,0.49,3.81,0.73,0.01
2010M05,-0.082789117,-0.016256535,-0.079283728,-0.16416027,-9.54,0.14,-2.43,0.01
2010M06,-0.053127428,-0.021046764,-0.087485138,-0.114446182,-3.15,0.29,-2.74,0.01
2010M07,0.066069373,0.022486379,0.085877676,0.114833623,8.21,-1.6,1.41,0.01
2010M08,-0.046023921,-0.056575665,-0.074547455,-0.089719017,-3.9,-0.22,-1.83,0.01
2010M09,0.085769454,0.154620761,0.155609795,0.04254195,9.85,1.48,-1.55,0.01
2010M10,0.037490386,0.058950116,0.1546043,0.085274273,3.94,-0.02,-1.23,0.01
2010M11,0,0.033231296,-0.099259613,-0.04819156,-2.17,2.1,-0.72,0.01
2010M12,0.064712327,0.036014303,0.066582262,0.099762703,7.6,2.08,1.79,0.01
2011M01,0.023033311,0.050654054,0.010700695,-0.006469927,2.13,-1.63,2.78,0.01
2011M02,0.034147082,0.040119669,0.021487696,-0.036462532,3.49,0.18,0.41,0.01
2011M03,0.000120387,-0.013396324,-0.044401389,-0.045803357,-0.68,1.32,-1.56,0.01
2011M04,0.028550234,0.004638026,-0.075482739,0.020658972,4.47,-0.69,-1.83,0
2011M05,-0.011277821,-0.006590732,-0.028106817,-0.02920584,-2.1,-0.5,-1.37,0
2011M06,-0.0170138,-0.035585426,-0.043738955,0.038821254,-1.52,-0.42,0.6,0
2011M07,-0.020207569,0.151248084,0.175773488,0.052446276,-1.7,1.31,-2.15,0
2011M08,-0.056544587,-0.014575074,-0.109715441,-0.023340256,-7.52,-0.63,-1.81,0.01
2011M09,-0.07194824,-0.009162717,-0.049100777,-0.066445129,-9.2,-1.33,0.74,0
2011M10,0.103591626,0.05970473,0.140342492,0.067572631,10.01,-2.06,-1.93,0
2011M11,-0.004072236,-0.057399525,0.011325376,-0.032725567,-2.64,-1.04,-0.81,0
2011M12,0.010394272,0.057942807,0.074732174,0.01474596,-0.44,-0.46,1.82,0
2012M01,0.045331426,0.119657784,-0.107426886,0.128849575,5.61,2.13,-0.89,0
2012M02,0.042489718,0.172532661,0.063675187,0.078733078,4.93,-0.77,-0.23,0
2012M03,0.031657704,0.100101921,0.036510862,0.016250233,1.23,-0.38,0.06,0
2012M04,-0.006698163,-0.026312647,-0.058423324,-0.007467411,-1.11,0.23,-1.77,0
